Read length	Number of total reads	Extract	Number of damaged reads	Sample	Type	Dup
30	618	1	36	11B_ss	Indels	30-1-11B_ss-Indels
30	5	2	1	11A	Indels	30-2-11A-Indels
30	22	2	0	11B	Indels	30-2-11B-Indels
30	3	3	0	11A	Indels	30-3-11A-Indels
30	15	3	0	11B	Indels	30-3-11B-Indels
30	1811	1	195	11A	Normal	30-1-11A-Normal
30	5930	1	278	I4411	Normal	30-1-I4411-Normal
30	325	1	78	11B	Normal	30-1-11B-Normal
30	2457	1	424	11B_ss	Normal	30-1-11B_ss-Normal
30	1594	2	184	11A	Normal	30-2-11A-Normal
30	132	2	29	11B	Normal	30-2-11B-Normal
30	1275	3	186	11A	Normal	30-3-11A-Normal
30	102	3	17	11B	Normal	30-3-11B-Normal
30	1802	1	194	11A	SNPs	30-1-11A-SNPs
30	4881	1	227	I4411	SNPs	30-1-I4411-SNPs
30	301	1	77	11B	SNPs	30-1-11B-SNPs
30	1839	1	388	11B_ss	SNPs	30-1-11B_ss-SNPs
30	1589	2	183	11A	SNPs	30-2-11A-SNPs
30	110	2	29	11B	SNPs	30-2-11B-SNPs
30	1272	3	186	11A	SNPs	30-3-11A-SNPs
30	87	3	17	11B	SNPs	30-3-11B-SNPs
31	7	1	1	11A	Indels	31-1-11A-Indels
31	456	1	22	I4411	Indels	31-1-I4411-Indels
31	16	1	1	11B	Indels	31-1-11B-Indels
31	234	1	14	11B_ss	Indels	31-1-11B_ss-Indels
31	4	2	0	11A	Indels	31-2-11A-Indels
31	8	2	0	11B	Indels	31-2-11B-Indels
31	5	3	0	11A	Indels	31-3-11A-Indels
31	18	3	1	11B	Indels	31-3-11B-Indels
31	2518	1	307	11A	Normal	31-1-11A-Normal
31	5229	1	230	I4411	Normal	31-1-I4411-Normal
31	391	1	125	11B	Normal	31-1-11B-Normal
31	2047	1	487	11B_ss	Normal	31-1-11B_ss-Normal
31	2041	2	242	11A	Normal	31-2-11A-Normal
31	147	2	47	11B	Normal	31-2-11B-Normal
31	1503	3	200	11A	Normal	31-3-11A-Normal
31	163	3	45	11B	Normal	31-3-11B-Normal
31	2511	1	306	11A	SNPs	31-1-11A-SNPs
31	4773	1	208	I4411	SNPs	31-1-I4411-SNPs
31	375	1	124	11B	SNPs	31-1-11B-SNPs
31	1813	1	473	11B_ss	SNPs	31-1-11B_ss-SNPs
31	2037	2	242	11A	SNPs	31-2-11A-SNPs
31	139	2	47	11B	SNPs	31-2-11B-SNPs
31	1498	3	200	11A	SNPs	31-3-11A-SNPs
31	145	3	44	11B	SNPs	31-3-11B-SNPs
32	13	1	2	11A	Indels	32-1-11A-Indels
32	250	1	7	I4411	Indels	32-1-I4411-Indels
32	11	1	2	11B	Indels	32-1-11B-Indels
32	127	1	6	11B_ss	Indels	32-1-11B_ss-Indels
32	13	2	3	11A	Indels	32-2-11A-Indels
32	7	2	2	11B	Indels	32-2-11B-Indels
32	5	3	1	11A	Indels	32-3-11A-Indels
32	3	3	1	11B	Indels	32-3-11B-Indels
32	3236	1	408	11A	Normal	32-1-11A-Normal
32	4920	1	206	I4411	Normal	32-1-I4411-Normal
32	540	1	192	11B	Normal	32-1-11B-Normal
32	1970	1	493	11B_ss	Normal	32-1-11B_ss-Normal
32	2642	2	307	11A	Normal	32-2-11A-Normal
32	192	2	72	11B	Normal	32-2-11B-Normal
32	1696	3	276	11A	Normal	32-3-11A-Normal
32	163	3	56	11B	Normal	32-3-11B-Normal
32	3223	1	406	11A	SNPs	32-1-11A-SNPs
32	4670	1	199	I4411	SNPs	32-1-I4411-SNPs
32	529	1	190	11B	SNPs	32-1-11B-SNPs
32	1843	1	487	11B_ss	SNPs	32-1-11B_ss-SNPs
32	2629	2	304	11A	SNPs	32-2-11A-SNPs
32	185	2	70	11B	SNPs	32-2-11B-SNPs
32	1691	3	275	11A	SNPs	32-3-11A-SNPs
32	160	3	55	11B	SNPs	32-3-11B-SNPs
33	11	1	0	11A	Indels	33-1-11A-Indels
33	132	1	4	I4411	Indels	33-1-I4411-Indels
33	5	1	0	11B	Indels	33-1-11B-Indels
33	49	1	3	11B_ss	Indels	33-1-11B_ss-Indels
33	7	2	1	11A	Indels	33-2-11A-Indels
33	5	2	1	11B	Indels	33-2-11B-Indels
33	6	3	1	11A	Indels	33-3-11A-Indels
33	4	3	0	11B	Indels	33-3-11B-Indels
33	3949	1	487	11A	Normal	33-1-11A-Normal
33	4676	1	212	I4411	Normal	33-1-I4411-Normal
33	646	1	229	11B	Normal	33-1-11B-Normal
33	1872	1	532	11B_ss	Normal	33-1-11B_ss-Normal
33	3202	2	413	11A	Normal	33-2-11A-Normal
33	248	2	94	11B	Normal	33-2-11B-Normal
33	1880	3	286	11A	Normal	33-3-11A-Normal
33	242	3	87	11B	Normal	33-3-11B-Normal
33	3938	1	487	11A	SNPs	33-1-11A-SNPs
33	4544	1	208	I4411	SNPs	33-1-I4411-SNPs
33	641	1	229	11B	SNPs	33-1-11B-SNPs
33	1823	1	529	11B_ss	SNPs	33-1-11B_ss-SNPs
33	3195	2	412	11A	SNPs	33-2-11A-SNPs
33	243	2	93	11B	SNPs	33-2-11B-SNPs
33	1874	3	285	11A	SNPs	33-3-11A-SNPs
33	238	3	87	11B	SNPs	33-3-11B-SNPs
34	15	1	1	11A	Indels	34-1-11A-Indels
34	92	1	0	I4411	Indels	34-1-I4411-Indels
34	1	1	0	11B	Indels	34-1-11B-Indels
34	21	1	0	11B_ss	Indels	34-1-11B_ss-Indels
34	14	2	1	11A	Indels	34-2-11A-Indels
34	2	2	0	11B	Indels	34-2-11B-Indels
34	3	3	0	11A	Indels	34-3-11A-Indels
34	1	3	0	11B	Indels	34-3-11B-Indels
34	4674	1	632	11A	Normal	34-1-11A-Normal
34	4639	1	209	I4411	Normal	34-1-I4411-Normal
34	747	1	282	11B	Normal	34-1-11B-Normal
34	1878	1	540	11B_ss	Normal	34-1-11B_ss-Normal
34	3518	2	447	11A	Normal	34-2-11A-Normal
34	300	2	92	11B	Normal	34-2-11B-Normal
34	1978	3	279	11A	Normal	34-3-11A-Normal
34	324	3	108	11B	Normal	34-3-11B-Normal
34	4659	1	631	11A	SNPs	34-1-11A-SNPs
34	4547	1	209	I4411	SNPs	34-1-I4411-SNPs
34	746	1	282	11B	SNPs	34-1-11B-SNPs
34	1857	1	540	11B_ss	SNPs	34-1-11B_ss-SNPs
34	3504	2	446	11A	SNPs	34-2-11A-SNPs
34	298	2	92	11B	SNPs	34-2-11B-SNPs
34	1975	3	279	11A	SNPs	34-3-11A-SNPs
34	323	3	108	11B	SNPs	34-3-11B-SNPs
35	22	1	3	11A	Indels	35-1-11A-Indels
35	96	1	2	I4411	Indels	35-1-I4411-Indels
35	3	1	1	11B	Indels	35-1-11B-Indels
35	18	1	2	11B_ss	Indels	35-1-11B_ss-Indels
35	14	2	1	11A	Indels	35-2-11A-Indels
35	5	2	2	11B	Indels	35-2-11B-Indels
35	7	3	0	11A	Indels	35-3-11A-Indels
35	1	3	0	11B	Indels	35-3-11B-Indels
35	5012	1	736	11A	Normal	35-1-11A-Normal
35	4557	1	192	I4411	Normal	35-1-I4411-Normal
35	805	1	300	11B	Normal	35-1-11B-Normal
35	1893	1	488	11B_ss	Normal	35-1-11B_ss-Normal
35	3962	2	536	11A	Normal	35-2-11A-Normal
35	330	2	131	11B	Normal	35-2-11B-Normal
35	2076	3	276	11A	Normal	35-3-11A-Normal
35	391	3	147	11B	Normal	35-3-11B-Normal
35	4990	1	733	11A	SNPs	35-1-11A-SNPs
35	4461	1	190	I4411	SNPs	35-1-I4411-SNPs
35	802	1	299	11B	SNPs	35-1-11B-SNPs
35	1875	1	486	11B_ss	SNPs	35-1-11B_ss-SNPs
35	3948	2	535	11A	SNPs	35-2-11A-SNPs
35	325	2	129	11B	SNPs	35-2-11B-SNPs
35	2069	3	276	11A	SNPs	35-3-11A-SNPs
35	390	3	147	11B	SNPs	35-3-11B-SNPs
36	18	1	1	11A	Indels	36-1-11A-Indels
36	92	1	1	I4411	Indels	36-1-I4411-Indels
36	4	1	0	11B	Indels	36-1-11B-Indels
36	11	1	0	11B_ss	Indels	36-1-11B_ss-Indels
36	11	2	0	11A	Indels	36-2-11A-Indels
36	2	2	0	11B	Indels	36-2-11B-Indels
36	5	3	1	11A	Indels	36-3-11A-Indels
36	1	3	1	11B	Indels	36-3-11B-Indels
36	5460	1	819	11A	Normal	36-1-11A-Normal
36	4577	1	174	I4411	Normal	36-1-I4411-Normal
36	867	1	316	11B	Normal	36-1-11B-Normal
36	1781	1	532	11B_ss	Normal	36-1-11B_ss-Normal
36	4094	2	551	11A	Normal	36-2-11A-Normal
36	368	2	135	11B	Normal	36-2-11B-Normal
36	2001	3	294	11A	Normal	36-3-11A-Normal
36	433	3	151	11B	Normal	36-3-11B-Normal
36	5442	1	818	11A	SNPs	36-1-11A-SNPs
36	4485	1	173	I4411	SNPs	36-1-I4411-SNPs
36	863	1	316	11B	SNPs	36-1-11B-SNPs
36	1770	1	532	11B_ss	SNPs	36-1-11B_ss-SNPs
36	4083	2	551	11A	SNPs	36-2-11A-SNPs
36	366	2	135	11B	SNPs	36-2-11B-SNPs
36	1996	3	293	11A	SNPs	36-3-11A-SNPs
36	432	3	150	11B	SNPs	36-3-11B-SNPs
37	18	1	2	11A	Indels	37-1-11A-Indels
37	82	1	2	I4411	Indels	37-1-I4411-Indels
37	1	1	0	11B	Indels	37-1-11B-Indels
37	9	1	1	11B_ss	Indels	37-1-11B_ss-Indels
37	24	2	0	11A	Indels	37-2-11A-Indels
37	6	2	2	11B	Indels	37-2-11B-Indels
37	7	3	0	11A	Indels	37-3-11A-Indels
37	1	3	0	11B	Indels	37-3-11B-Indels
37	5610	1	879	11A	Normal	37-1-11A-Normal
37	4318	1	175	I4411	Normal	37-1-I4411-Normal
37	901	1	334	11B	Normal	37-1-11B-Normal
37	1664	1	482	11B_ss	Normal	37-1-11B_ss-Normal
37	4080	2	580	11A	Normal	37-2-11A-Normal
37	384	2	150	11B	Normal	37-2-11B-Normal
37	1921	3	292	11A	Normal	37-3-11A-Normal
37	473	3	176	11B	Normal	37-3-11B-Normal
37	5592	1	877	11A	SNPs	37-1-11A-SNPs
37	4236	1	173	I4411	SNPs	37-1-I4411-SNPs
37	900	1	334	11B	SNPs	37-1-11B-SNPs
37	1655	1	481	11B_ss	SNPs	37-1-11B_ss-SNPs
37	4056	2	580	11A	SNPs	37-2-11A-SNPs
37	378	2	148	11B	SNPs	37-2-11B-SNPs
37	1914	3	292	11A	SNPs	37-3-11A-SNPs
37	472	3	176	11B	SNPs	37-3-11B-SNPs
38	14	1	2	11A	Indels	38-1-11A-Indels
38	86	1	0	I4411	Indels	38-1-I4411-Indels
38	2	1	0	11B	Indels	38-1-11B-Indels
38	11	1	2	11B_ss	Indels	38-1-11B_ss-Indels
38	12	2	1	11A	Indels	38-2-11A-Indels
38	6	2	1	11B	Indels	38-2-11B-Indels
38	4	3	2	11A	Indels	38-3-11A-Indels
38	5540	1	862	11A	Normal	38-1-11A-Normal
38	4253	1	168	I4411	Normal	38-1-I4411-Normal
38	854	1	321	11B	Normal	38-1-11B-Normal
38	1568	1	471	11B_ss	Normal	38-1-11B_ss-Normal
38	3997	2	571	11A	Normal	38-2-11A-Normal
38	422	2	162	11B	Normal	38-2-11B-Normal
38	1929	3	282	11A	Normal	38-3-11A-Normal
38	525	3	199	11B	Normal	38-3-11B-Normal
38	5526	1	860	11A	SNPs	38-1-11A-SNPs
38	4167	1	168	I4411	SNPs	38-1-I4411-SNPs
38	852	1	321	11B	SNPs	38-1-11B-SNPs
38	1557	1	469	11B_ss	SNPs	38-1-11B_ss-SNPs
38	3985	2	570	11A	SNPs	38-2-11A-SNPs
38	416	2	161	11B	SNPs	38-2-11B-SNPs
38	1925	3	280	11A	SNPs	38-3-11A-SNPs
38	525	3	199	11B	SNPs	38-3-11B-SNPs
39	27	1	3	11A	Indels	39-1-11A-Indels
39	77	1	4	I4411	Indels	39-1-I4411-Indels
39	5	1	1	11B	Indels	39-1-11B-Indels
39	6	1	0	11B_ss	Indels	39-1-11B_ss-Indels
39	12	2	0	11A	Indels	39-2-11A-Indels
39	3	2	1	11B	Indels	39-2-11B-Indels
39	10	3	0	11A	Indels	39-3-11A-Indels
39	1	3	0	11B	Indels	39-3-11B-Indels
39	5431	1	951	11A	Normal	39-1-11A-Normal
39	4162	1	151	I4411	Normal	39-1-I4411-Normal
39	836	1	316	11B	Normal	39-1-11B-Normal
39	1474	1	437	11B_ss	Normal	39-1-11B_ss-Normal
39	3716	2	528	11A	Normal	39-2-11A-Normal
39	407	2	153	11B	Normal	39-2-11B-Normal
39	1812	3	264	11A	Normal	39-3-11A-Normal
39	490	3	185	11B	Normal	39-3-11B-Normal
39	5404	1	948	11A	SNPs	39-1-11A-SNPs
39	4085	1	147	I4411	SNPs	39-1-I4411-SNPs
39	831	1	315	11B	SNPs	39-1-11B-SNPs
39	1468	1	437	11B_ss	SNPs	39-1-11B_ss-SNPs
39	3704	2	528	11A	SNPs	39-2-11A-SNPs
39	404	2	152	11B	SNPs	39-2-11B-SNPs
39	1802	3	264	11A	SNPs	39-3-11A-SNPs
39	489	3	185	11B	SNPs	39-3-11B-SNPs
40	32	1	4	11A	Indels	40-1-11A-Indels
40	76	1	1	I4411	Indels	40-1-I4411-Indels
40	1	1	0	11B	Indels	40-1-11B-Indels
40	8	1	2	11B_ss	Indels	40-1-11B_ss-Indels
40	20	2	4	11A	Indels	40-2-11A-Indels
40	6	2	2	11B	Indels	40-2-11B-Indels
40	8	3	1	11A	Indels	40-3-11A-Indels
40	1	3	1	11B	Indels	40-3-11B-Indels
40	5205	1	876	11A	Normal	40-1-11A-Normal
40	4138	1	169	I4411	Normal	40-1-I4411-Normal
40	717	1	292	11B	Normal	40-1-11B-Normal
40	1378	1	422	11B_ss	Normal	40-1-11B_ss-Normal
40	3585	2	500	11A	Normal	40-2-11A-Normal
40	428	2	170	11B	Normal	40-2-11B-Normal
40	1671	3	253	11A	Normal	40-3-11A-Normal
40	553	3	215	11B	Normal	40-3-11B-Normal
40	5173	1	872	11A	SNPs	40-1-11A-SNPs
40	4062	1	168	I4411	SNPs	40-1-I4411-SNPs
40	716	1	292	11B	SNPs	40-1-11B-SNPs
40	1370	1	420	11B_ss	SNPs	40-1-11B_ss-SNPs
40	3565	2	496	11A	SNPs	40-2-11A-SNPs
40	422	2	168	11B	SNPs	40-2-11B-SNPs
40	1663	3	252	11A	SNPs	40-3-11A-SNPs
40	552	3	214	11B	SNPs	40-3-11B-SNPs
41	31	1	4	11A	Indels	41-1-11A-Indels
41	77	1	1	I4411	Indels	41-1-I4411-Indels
41	1	1	0	11B	Indels	41-1-11B-Indels
41	9	1	2	11B_ss	Indels	41-1-11B_ss-Indels
41	15	2	0	11A	Indels	41-2-11A-Indels
41	5	3	0	11A	Indels	41-3-11A-Indels
41	3	3	0	11B	Indels	41-3-11B-Indels
41	4930	1	822	11A	Normal	41-1-11A-Normal
41	4025	1	151	I4411	Normal	41-1-I4411-Normal
41	719	1	293	11B	Normal	41-1-11B-Normal
41	1189	1	343	11B_ss	Normal	41-1-11B_ss-Normal
41	3327	2	497	11A	Normal	41-2-11A-Normal
41	389	2	159	11B	Normal	41-2-11B-Normal
41	1498	3	266	11A	Normal	41-3-11A-Normal
41	524	3	203	11B	Normal	41-3-11B-Normal
41	4899	1	818	11A	SNPs	41-1-11A-SNPs
41	3948	1	150	I4411	SNPs	41-1-I4411-SNPs
41	718	1	293	11B	SNPs	41-1-11B-SNPs
41	1180	1	341	11B_ss	SNPs	41-1-11B_ss-SNPs
41	3312	2	497	11A	SNPs	41-2-11A-SNPs
41	389	2	159	11B	SNPs	41-2-11B-SNPs
41	1493	3	266	11A	SNPs	41-3-11A-SNPs
41	521	3	203	11B	SNPs	41-3-11B-SNPs
42	30	1	2	11A	Indels	42-1-11A-Indels
42	97	1	1	I4411	Indels	42-1-I4411-Indels
42	9	1	1	11B	Indels	42-1-11B-Indels
42	12	1	3	11B_ss	Indels	42-1-11B_ss-Indels
42	18	2	0	11A	Indels	42-2-11A-Indels
42	5	2	2	11B	Indels	42-2-11B-Indels
42	9	3	1	11A	Indels	42-3-11A-Indels
